complaint_type,borough,agency,total_requests,open_requests,sla_miss_rate,aged_share_of_open,priority_score,priority_rank
Special Projects Inspection Team (SPIT),Brooklyn,DOB,528,0,0.1818,0.0,0.1368,320
Vendor Enforcement,Bronx,DSNY,839,0,0.0,0.0,0.1345,321
Noise - Park,Manhattan,NYPD,785,0,0.0,0.0,0.1296,322
Boilers,Brooklyn,DOB,207,0,0.5024,0.0,0.1289,323
Air Quality,Bronx,DEP,204,8,0.0404,0.125,0.1269,324
Abandoned Vehicle,Manhattan,NYPD,759,0,0.0,0.0,0.1247,325
PAINT/PLASTER,Staten Island,HPD,207,14,0.0155,0.0714,0.124,326
Dumpster Complaint,Brooklyn,DSNY,206,6,0.005,0.1667,0.1225,327
Animal-Abuse,Bronx,NYPD,724,0,0.0,0.0,0.1198,328
Emergency Response Team (ERT),Manhattan,DOB,241,0,0.3983,0.0,0.1191,329
Illegal Fireworks,Brooklyn,NYPD,660,0,0.0,0.0,0.1166,330
Litter Basket Request,Manhattan,DSNY,321,1,0.0,0.0,0.1118,331
Noise - Park,Brooklyn,NYPD,625,0,0.0,0.0,0.1092,332
Panhandling,Bronx,NYPD,611,0,0.0,0.0,0.1052,333
Illegal Fireworks,Queens,NYPD,602,0,0.0,0.0,0.1027,334
Noise - House of Worship,Queens,NYPD,597,0,0.0,0.0,0.1011,335
Plumbing,Queens,DOB,336,0,0.2143,0.0,0.0976,336
Animal-Abuse,Queens,NYPD,568,0,0.0,0.0,0.097,337
Plumbing,Brooklyn,DOB,349,0,0.1862,0.0,0.0946,338
Panhandling,Brooklyn,NYPD,542,0,0.0,0.0,0.0921,339
Animal-Abuse,Manhattan,NYPD,501,0,0.0,0.0,0.0889,340
